iter	Passed	Remaining
586	1288	906
587	1290	904
588	1292	901
589	1294	899
590	1296	897
591	1298	894
592	1300	892
593	1302	890
594	1304	887
595	1306	885
596	1308	883
597	1310	880
598	1313	879
599	1314	876
600	1316	874
601	1318	871
602	1321	870
603	1324	868
604	1326	866
605	1328	863
606	1330	861
607	1332	859
608	1334	856
609	1336	854
610	1338	852
611	1340	849
612	1342	847
613	1344	845
614	1345	842
615	1347	840
616	1349	837
617	1351	835
618	1353	833
619	1355	830
620	1357	828
621	1358	825
622	1360	823
623	1362	821
624	1364	818
625	1366	816
626	1368	813
627	1370	811
628	1371	809
629	1374	806
630	1375	804
631	1377	802
632	1379	799
633	1381	797
634	1382	794
635	1384	792
636	1386	790
637	1388	787
638	1390	785
639	1392	783
640	1394	781
641	1396	778
642	1398	776
643	1400	774
644	1402	771
645	1404	769
646	1406	767
647	1407	764
648	1409	762
649	1411	760
650	1413	757
651	1415	755
652	1417	753
653	1419	750
654	1421	748
655	1423	746
656	1424	743
657	1426	741
658	1428	739
659	1430	736
660	1432	734
661	1433	732
662	1435	729
663	1437	727
664	1439	725
665	1440	722
666	1442	720
667	1445	718
668	1446	715
669	1448	713
670	1450	711
671	1452	708
672	1454	706
673	1456	704
674	1458	702
675	1459	699
676	1461	697
677	1463	695
678	1465	692
679	1468	690
680	1470	688
681	1472	686
682	1474	684
683	1476	682
684	1478	679
685	1480	677
686	1482	675
687	1484	673
688	1486	671
689	1488	668
690	1490	666
691	1492	664
692	1494	662
693	1496	659
694	1498	657
695	1500	655
696	1502	653
697	1504	650
698	1505	648
699	1507	646
700	1509	643
701	1511	641
702	1513	639
703	1515	637
704	1517	635
705	1518	632
706	1521	630
707	1523	628
708	1524	625
709	1526	623
710	1528	621
711	1530	619
712	1532	616
713	1534	614
714	1536	612
715	1538	610
716	1539	607
717	1541	605
718	1544	603
719	1546	601
720	1548	599
721	1550	596
722	1551	594
723	1554	592
724	1555	590
725	1557	587
726	1560	585
727	1561	583
728	1563	581
729	1565	579
730	1567	576
731	1569	574
732	1571	572
733	1573	570
734	1575	568
735	1577	565
736	1579	563
737	1581	561
738	1583	559
739	1585	557
740	1587	554
741	1589	552
742	1592	550
743	1594	548
744	1596	546
745	1598	544
746	1599	541
747	1601	539
748	1604	537
749	1605	535
750	1607	533
751	1609	530
752	1611	528
753	1613	526
754	1615	524
755	1617	521
756	1618	519
757	1620	517
758	1622	515
759	1625	513
760	1627	510
761	1628	508
762	1630	506
763	1632	504
764	1634	502
765	1636	499
766	1638	497
767	1640	495
768	1642	493
769	1643	490
770	1645	488
771	1647	486
772	1649	484
773	1651	482
774	1653	480
775	1656	478
776	1658	475
777	1660	473
778	1662	471
779	1664	469
780	1666	467
781	1668	465
782	1670	462
783	1671	460
784	1674	458
785	1676	456
786	1677	454
787	1680	452
788	1682	449
789	1684	447
790	1686	445
791	1688	443
792	1690	441
793	1692	439
794	1695	437
795	1696	434
796	1698	432
797	1701	430
798	1703	428
799	1705	426
800	1707	424
801	1709	422
802	1711	419
803	1713	417
804	1715	415
805	1717	413
806	1719	411
807	1720	408
808	1722	406
809	1725	404
810	1727	402
811	1729	400
812	1732	398
813	1734	396
814	1736	394
815	1738	391
816	1740	389
817	1741	387
818	1744	385
819	1746	383
820	1748	381
821	1750	379
822	1752	376
823	1755	374
824	1757	372
825	1759	370
826	1761	368
827	1762	366
828	1764	364
829	1766	361
830	1768	359
831	1770	357
832	1772	355
833	1774	353
834	1776	351
835	1778	348
836	1780	346
837	1782	344
838	1784	342
839	1786	340
840	1788	338
841	1790	335
842	1792	333
843	1794	331
844	1796	329
845	1798	327
846	1800	325
847	1802	323
848	1804	320
849	1807	318
850	1809	316
851	1810	314
852	1812	312
853	1814	310
854	1816	308
855	1818	305
856	1820	303
857	1822	301
858	1824	299
859	1825	297
860	1827	295
861	1829	292
862	1831	290
863	1833	288
864	1835	286
865	1837	284
866	1839	282
867	1841	280
868	1843	277
869	1844	275
870	1846	273
871	1848	271
872	1850	269
873	1852	267
874	1853	264
875	1855	262
876	1857	260
877	1858	258
878	1860	256
879	1862	253
880	1864	251
881	1866	249
882	1867	247
883	1869	245
884	1871	243
885	1873	241
886	1874	238
887	1876	236
888	1878	234
889	1880	232
890	1882	230
891	1884	228
892	1886	226
893	1888	223
894	1890	221
895	1892	219
896	1894	217
897	1896	215
898	1897	213
899	1900	211
900	1901	208
901	1903	206
902	1905	204
903	1907	202
904	1908	200
905	1910	198
906	1912	196
907	1914	193
908	1915	191
909	1917	189
910	1919	187
911	1920	185
912	1923	183
913	1925	181
914	1927	179
915	1930	177
916	1932	174
917	1934	172
918	1936	170
919	1938	168
920	1940	166
921	1941	164
922	1943	162
923	1944	159
924	1946	157
925	1948	155
926	1949	153
927	1951	151
928	1952	149
929	1954	147
930	1955	144
931	1957	142
932	1960	140
933	1961	138
934	1963	136
935	1965	134
936	1967	132
937	1968	130
938	1970	128
939	1972	125
940	1974	123
941	1976	121
942	1977	119
943	1979	117
944	1981	115
945	1983	113
946	1985	111
947	1987	109
948	1989	106
949	1990	104
950	1992	102
951	1994	100
952	1996	98
953	1998	96
954	2000	94
955	2002	92
956	2003	90
957	2005	87
958	2007	85
959	2009	83
960	2011	81
961	2012	79
962	2014	77
963	2016	75
964	2018	73
965	2020	71
966	2021	68
967	2023	66
968	2025	64
969	2027	62
970	2029	60
971	2031	58
972	2032	56
973	2034	54
974	2036	52
975	2037	50
976	2039	48
977	2041	45
978	2043	43
979	2044	41
980	2046	39
981	2048	37
982	2050	35
983	2052	33
984	2054	31
985	2055	29
986	2058	27
987	2060	25
988	2061	22
989	2063	20
990	2065	18
991	2068	16
992	2069	14
993	2071	12
994	2073	10
995	2075	8
996	2076	6
997	2078	4
998	2080	2
999	2082	0
